                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.98453,                0.63701,                0.90846,                0.52211,                0.27566,                0.29932,                0.17342,                 1.1936,                0.97404,                0.96551,             0.00027222,             0.00027222,             0.00027222
                     70,                0.97616,                0.63679,                0.90603,                0.46612,                0.30529,                0.30589,                0.17822,                 1.1862,                0.96175,                0.96306,             0.00026398,             0.00026398,             0.00026398
                     71,                0.97792,                0.63646,                0.91047,                0.46868,                0.29722,                  0.299,                0.17576,                 1.1922,                0.97998,                0.96908,             0.00025573,             0.00025573,             0.00025573
                     72,                0.97526,                0.62672,                0.90481,                0.46025,                0.30887,                0.30885,                0.18123,                 1.2027,                0.99856,                0.97524,             0.00024748,             0.00024748,             0.00024748
                     73,                0.98305,                0.63132,                0.90383,                 0.5081,                0.27723,                 0.2954,                0.17053,                 1.1814,                  1.007,                0.96187,             0.00023924,             0.00023924,             0.00023924
                     74,                0.98309,                 0.6316,                0.90328,                  0.499,                0.29608,                0.30736,                0.17949,                 1.1771,                0.94496,                0.96208,             0.00023099,             0.00023099,             0.00023099
                     75,                0.96717,                0.62295,                0.90422,                0.51593,                0.28323,                0.29141,                0.16479,                 1.2039,                  1.011,                0.97356,             0.00022274,             0.00022274,             0.00022274
                     76,                0.96183,                0.61953,                0.90073,                0.53704,                0.28959,                0.30383,                0.17511,                 1.1874,                0.95845,                0.96218,              0.0002145,              0.0002145,              0.0002145
                     77,                0.97354,                0.62436,                0.89899,                0.52947,                0.28724,                0.30895,                0.18119,                  1.163,                0.93892,                0.95367,             0.00020625,             0.00020625,             0.00020625
                     78,                0.96851,                0.61832,                0.90211,                0.53169,                0.28933,                0.30226,                0.17636,                 1.1619,                0.95481,                0.95382,               0.000198,               0.000198,               0.000198
                     79,                0.95338,                0.61154,                0.89956,                0.52988,                0.28914,                0.30277,                0.17863,                 1.1551,                0.93074,                0.95514,             0.00018976,             0.00018976,             0.00018976
                     80,                0.95533,                0.60879,                0.89829,                 0.5307,                 0.2949,                0.30786,                0.18227,                 1.1532,                 0.9532,                0.95161,             0.00018151,             0.00018151,             0.00018151
                     81,                0.96786,                0.61734,                0.90208,                0.49877,                0.28327,                0.29994,                0.17657,                 1.1669,                0.95114,                0.95525,             0.00017326,             0.00017326,             0.00017326
                     82,                0.96306,                0.61441,                0.89964,                0.49014,                0.28104,                 0.3007,                0.17602,                 1.1551,                0.94426,                0.94778,             0.00016502,             0.00016502,             0.00016502
                     83,                 0.9535,                0.61315,                0.89991,                0.53514,                0.27318,                0.29862,                 0.1734,                 1.1629,                0.94687,                0.95505,             0.00015677,             0.00015677,             0.00015677
                     84,                0.94694,                0.61168,                0.89745,                0.52475,                0.28098,                0.29952,                0.17371,                 1.1605,                0.94845,                0.95389,             0.00014852,             0.00014852,             0.00014852
                     85,                0.94553,                0.60346,                0.89769,                0.50989,                0.27587,                0.28959,                0.16685,                 1.1709,                 0.9853,                0.95935,             0.00014028,             0.00014028,             0.00014028
                     86,                0.94607,                0.59866,                0.89446,                0.53104,                0.27733,                0.29787,                0.17408,                 1.1665,                0.95496,                0.95516,             0.00013203,             0.00013203,             0.00013203
                     87,                 0.9557,                0.60305,                 0.8978,                0.53243,                0.27776,                0.30138,                0.17759,                 1.1733,                 0.9445,                0.95602,             0.00012378,             0.00012378,             0.00012378
                     88,                0.94337,                0.59248,                0.89454,                0.53076,                0.28062,                 0.3031,                0.17872,                 1.1658,                0.93961,                0.95444,             0.00011554,             0.00011554,             0.00011554
                     89,                0.93756,                0.59593,                0.89258,                0.51563,                0.27416,                0.29431,                0.17242,                 1.1751,                0.96713,                0.96065,             0.00010729,             0.00010729,             0.00010729
                     90,                0.94821,                 0.5993,                0.89716,                0.51602,                0.27642,                0.29747,                0.17364,                 1.1642,                0.96087,                0.95708,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.97455,                0.61722,                0.89781,                0.50085,                0.26878,                 0.2802,                0.16735,                 1.1712,                0.98796,                0.96694,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 0.9422,                 0.5904,                0.88971,                0.49681,                0.27009,                0.28513,                0.16966,                 1.1688,                0.97157,                0.95419,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.93671,                0.57952,                0.88793,                0.49578,                0.27367,                 0.2899,                0.17077,                 1.1692,                0.96306,                0.95262,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.94015,                0.57435,                0.89086,                0.49011,                0.27411,                0.28967,                0.17018,                 1.1647,                0.95837,                0.95331,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 0.9292,                0.57412,                0.88697,                0.50211,                0.27283,                0.29062,                0.17223,                 1.1653,                0.95177,                0.95541,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.92686,                0.57197,                0.88626,                0.51272,                0.27433,                0.29147,                0.17271,                 1.1616,                0.96896,                0.95611,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.92367,                0.56869,                0.88588,                0.50725,                0.27419,                0.29073,                0.17242,                  1.163,                0.96534,                0.95166,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.91921,                0.56431,                0.88401,                0.50704,                0.27538,                0.29232,                0.17265,                 1.1648,                0.96125,                0.95487,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.92465,                 0.5682,                0.88535,                0.51175,                0.27136,                0.29078,                0.17188,                 1.1645,                 0.9641,                0.95476,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.92091,                0.56247,                0.88441,                0.51211,                0.27395,                0.29264,                0.17348,                 1.1611,                0.95775,                0.95327,             1.6577e-05,             1.6577e-05,             1.6577e-05
