epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2369.73,1.30136,1.03951,1.05893,0.52945,0.24018,0.2488,0.12368,1.78241,1.44282,1.33591,0.000169718,0.000169718,0.000169718
79,2403.9,1.31511,1.04948,1.07105,0.5069,0.24157,0.24452,0.12178,1.78376,1.43721,1.33836,0.000162649,0.000162649,0.000162649
80,2438.02,1.26016,1.02106,1.04922,0.48822,0.24843,0.24193,0.11893,1.79234,1.44264,1.34164,0.000155581,0.000155581,0.000155581
81,2472.62,1.28105,1.01859,1.06363,0.48909,0.2574,0.24911,0.12354,1.77334,1.43945,1.32934,0.000148512,0.000148512,0.000148512
82,2506.79,1.27595,1.03568,1.07109,0.51303,0.24942,0.25053,0.12459,1.78347,1.43872,1.33197,0.000141443,0.000141443,0.000141443
83,2540.84,1.28273,1.02034,1.05764,0.51208,0.25358,0.25087,0.12433,1.78573,1.44076,1.32509,0.000134375,0.000134375,0.000134375
84,2576.27,1.2644,1.00872,1.04573,0.50252,0.25211,0.24749,0.12188,1.79482,1.45095,1.32528,0.000127306,0.000127306,0.000127306
85,2611.1,1.27062,1.02072,1.04911,0.50748,0.25384,0.25186,0.1248,1.78224,1.4316,1.33052,0.000120238,0.000120238,0.000120238
86,2645.99,1.26612,1.01073,1.05032,0.50291,0.25608,0.25321,0.12552,1.78224,1.42708,1.33155,0.000113169,0.000113169,0.000113169
87,2680.07,1.28599,1.02536,1.05544,0.51547,0.25113,0.2532,0.12614,1.77952,1.42331,1.33266,0.0001061,0.0001061,0.0001061
88,2713.5,1.23967,0.99709,1.03525,0.51001,0.24907,0.25098,0.12473,1.77831,1.42152,1.33182,9.90318e-05,9.90318e-05,9.90318e-05
89,2740.86,1.25895,0.98607,1.05108,0.49278,0.25462,0.25103,0.12464,1.77901,1.42758,1.32986,9.19632e-05,9.19632e-05,9.19632e-05
90,2769.78,1.26322,0.98939,1.04568,0.49338,0.25869,0.25251,0.12517,1.78009,1.43125,1.33028,8.48946e-05,8.48946e-05,8.48946e-05
91,2800.54,1.29344,1.11217,1.06666,0.50724,0.25444,0.24992,0.12461,1.78434,1.4414,1.33406,7.7826e-05,7.7826e-05,7.7826e-05
92,2828.88,1.26964,1.06853,1.05909,0.48997,0.24661,0.24161,0.12001,1.79351,1.46631,1.34628,7.07574e-05,7.07574e-05,7.07574e-05
93,2857.09,1.29786,1.06051,1.06115,0.48662,0.24361,0.23668,0.11651,1.79396,1.46659,1.34955,6.36888e-05,6.36888e-05,6.36888e-05
94,2885.28,1.2556,1.01444,1.0487,0.49202,0.24661,0.23979,0.11822,1.78675,1.45625,1.33968,5.66202e-05,5.66202e-05,5.66202e-05
95,2913.36,1.24944,1.01298,1.04461,0.47804,0.25016,0.24087,0.11912,1.7883,1.45096,1.33996,4.95516e-05,4.95516e-05,4.95516e-05
96,2942.51,1.2396,1.01032,1.05472,0.48465,0.24925,0.24272,0.1203,1.7824,1.43964,1.34132,4.2483e-05,4.2483e-05,4.2483e-05
97,2970.78,1.22629,0.99056,1.04204,0.48968,0.24904,0.24302,0.12022,1.78285,1.43507,1.34251,3.54144e-05,3.54144e-05,3.54144e-05
98,2999.62,1.21225,0.99057,1.02322,0.47369,0.25506,0.24309,0.12054,1.78458,1.43514,1.3418,2.83458e-05,2.83458e-05,2.83458e-05
99,3029.04,1.2103,0.98849,1.03331,0.48652,0.25269,0.2444,0.12106,1.7839,1.43561,1.33762,2.12772e-05,2.12772e-05,2.12772e-05
100,3057.57,1.20311,0.9778,1.03723,0.48583,0.25563,0.24599,0.12201,1.78236,1.43499,1.33571,1.42086e-05,1.42086e-05,1.42086e-05
