                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.76894,                0.43659,                0.85392,                0.51573,                0.28036,                0.31008,                0.18206,                 1.1213,                0.99938,                0.97101,               0.004159,               0.004159,               0.004159
                     61,                0.76736,                0.43528,                0.85355,                0.51915,                0.27831,                0.30917,                 0.1814,                 1.1221,                 1.0021,                0.97067,                0.00406,                0.00406,                0.00406
                     62,                0.76524,                0.43333,                0.85273,                0.52269,                0.27952,                0.30936,                0.18117,                 1.1227,                 1.0035,                0.97001,               0.003961,               0.003961,               0.003961
                     63,                0.76455,                0.43331,                0.85264,                 0.5216,                0.27969,                0.30943,                0.18084,                 1.1228,                 1.0053,                0.96929,               0.003862,               0.003862,               0.003862
                     64,                0.76153,                 0.4311,                0.85227,                0.52324,                 0.2791,                0.30917,                0.18061,                 1.1228,                 1.0073,                0.96882,               0.003763,               0.003763,               0.003763
                     65,                0.76021,                0.43032,                 0.8519,                0.52394,                0.27859,                0.30896,                0.18086,                 1.1231,                 1.0083,                0.96846,               0.003664,               0.003664,               0.003664
                     66,                0.75942,                0.42974,                0.85136,                0.52554,                 0.2785,                0.30946,                0.18105,                 1.1234,                 1.0095,                0.96783,               0.003565,               0.003565,               0.003565
                     67,                0.75583,                0.42765,                0.85098,                0.52599,                0.27926,                0.31051,                0.18134,                 1.1242,                 1.0094,                0.96796,               0.003466,               0.003466,               0.003466
                     68,                0.75388,                0.42606,                0.85064,                0.52535,                0.27885,                 0.3108,                 0.1816,                 1.1247,                 1.0102,                0.96788,               0.003367,               0.003367,               0.003367
                     69,                0.75166,                0.42427,                0.84936,                0.52777,                0.27941,                0.31174,                0.18184,                  1.125,                 1.0103,                0.96744,               0.003268,               0.003268,               0.003268
                     70,                0.74968,                0.42349,                0.84945,                0.52217,                0.28155,                0.31238,                0.18205,                 1.1252,                 1.0107,                0.96679,               0.003169,               0.003169,               0.003169
                     71,                0.74731,                0.42169,                0.84872,                0.52068,                0.28212,                0.31189,                0.18176,                 1.1255,                 1.0115,                0.96614,                0.00307,                0.00307,                0.00307
                     72,                0.74577,                0.42047,                0.84802,                0.50439,                 0.2855,                0.31293,                0.18212,                 1.1267,                 1.0119,                0.96624,               0.002971,               0.002971,               0.002971
                     73,                0.74383,                0.41914,                0.84846,                0.49604,                0.28909,                0.31349,                0.18227,                 1.1275,                 1.0133,                0.96656,               0.002872,               0.002872,               0.002872
                     74,                0.74017,                0.41734,                0.84726,                0.48979,                0.29152,                0.31342,                 0.1821,                 1.1282,                 1.0137,                 0.9666,               0.002773,               0.002773,               0.002773
                     75,                0.73967,                0.41706,                0.84685,                0.49331,                0.29206,                0.31378,                0.18211,                 1.1288,                  1.013,                0.96645,               0.002674,               0.002674,               0.002674
                     76,                 0.7364,                0.41519,                0.84622,                0.49169,                0.29273,                0.31411,                0.18243,                 1.1298,                 1.0117,                0.96721,               0.002575,               0.002575,               0.002575
                     77,                0.73464,                0.41301,                0.84564,                0.49468,                 0.2935,                0.31528,                0.18283,                 1.1307,                 1.0116,                0.96754,               0.002476,               0.002476,               0.002476
                     78,                 0.7321,                0.41206,                0.84496,                0.49777,                0.29474,                0.31599,                0.18343,                 1.1319,                 1.0127,                0.96817,               0.002377,               0.002377,               0.002377
                     79,                0.73039,                0.41026,                0.84451,                0.49956,                0.29484,                0.31621,                0.18361,                  1.133,                 1.0139,                0.96869,               0.002278,               0.002278,               0.002278
                     80,                0.72754,                 0.4095,                0.84483,                0.50069,                0.29447,                0.31647,                0.18376,                  1.134,                 1.0148,                0.96916,               0.002179,               0.002179,               0.002179
                     81,                0.72593,                0.40764,                0.84429,                0.50322,                0.29378,                0.31709,                0.18395,                 1.1352,                 1.0163,                0.96988,                0.00208,                0.00208,                0.00208
                     82,                0.72275,                 0.4062,                0.84338,                0.50645,                0.29234,                0.31724,                0.18423,                  1.136,                 1.0176,                0.97039,               0.001981,               0.001981,               0.001981
